model,keypad,row,physical_key,access,prefix_color,function,description,keyboard_printed_page,keyboard_pdf_page,function_printed_pages,function_pdf_pages,manual_pdf
HP-41CX,,8,R/S,none,,R/S,run or stop a program,25; 14–16,,146–147,,hp/manuals/HP-41CX.pdf
HP-41CX,,8,R/S,f,gold,VIEW,display a register's contents,25; 14–16,,146–147,,hp/manuals/HP-41CX.pdf
HP-11C,,1,√x,none,,√x,square root of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,√x,f,gold,A,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,√x,g,blue,x²,square of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,eˣ,none,,eˣ,"natural antilog, e raised to x",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,eˣ,f,gold,B,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,eˣ,g,blue,LN,natural logarithm of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,10ˣ,none,,10ˣ,"common antilog, 10 raised to x",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,10ˣ,f,gold,C,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,10ˣ,g,blue,LOG,common (base 10) logarithm of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,yˣ,none,,yˣ,raise Y to power of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,yˣ,f,gold,D,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,yˣ,g,blue,%,x percent of value in Y,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,1/x,none,,1/x,reciprocal of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,1/x,f,gold,E,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,1/x,g,blue,Δ%,percent change from Y to X,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,CHS,none,,CHS,change sign of number or exponent,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,CHS,f,gold,π,enter pi (3.141592654) into X,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,CHS,g,blue,ABS,absolute value of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,7,none,,7,digit 7,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,7,f,gold,FIX,fixed-point display mode,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,7,g,blue,DEG,decimal degrees angular mode,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,8,none,,8,digit 8,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,8,f,gold,SCI,scientific notation display mode,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,8,g,blue,RAD,radians angular mode,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,9,none,,9,digit 9,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,9,f,gold,ENG,engineering notation display mode,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,9,g,blue,GRD,grads angular mode,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,÷,none,,÷,divide,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,÷,f,gold,x≤y,conditional test x ≤ y,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,1,÷,g,blue,x<0,conditional test x < 0,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,SST,none,,SST,single-step forward through program,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,SST,f,gold,LBL,define label for routine start,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,SST,g,blue,BST,back-step through program,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,GTO,none,,GTO,go to label or line number,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,GTO,f,gold,HYP,prefix for hyperbolic sin/cos/tan,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,GTO,g,blue,HYP⁻¹,prefix for inverse hyperbolic sin/cos/tan,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,SIN,none,,SIN,sine of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,SIN,f,gold,x⇄(i),swap X with register addressed by I,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,SIN,g,blue,SIN⁻¹,arc sine of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,COS,none,,COS,cosine of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,COS,f,gold,(i),indirect operation via register I,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,COS,g,blue,COS⁻¹,arc cosine of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,TAN,none,,TAN,tangent of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,TAN,f,gold,I,index register (R sub I),8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,TAN,g,blue,TAN⁻¹,arc tangent of x,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,EEX,none,,EEX,enter exponent of ten,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,EEX,f,gold,→R,"polar (r, θ) to rectangular (x, y)",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,EEX,g,blue,→P,"rectangular (x, y) to polar (r, θ)",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,4,none,,4,digit 4,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,4,f,gold,x⇄I,swap X with index register I,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,4,g,blue,SF,set flag (0 or 1),8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,5,none,,5,digit 5,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,5,f,gold,DSE,"decrement counter, skip if ≤ test value",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,5,g,blue,CF,clear flag (0 or 1),8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,6,none,,6,digit 6,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,6,f,gold,ISG,"increment counter, skip if > test value",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,6,g,blue,F?,test whether flag is set,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,×,none,,×,multiply,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,×,f,gold,x>y,conditional test x > y,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,2,×,g,blue,x>0,conditional test x > 0,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,R/S,none,,R/S,run / stop program,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,R/S,f,gold,PSE,pause about one second to show X,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,R/S,g,blue,P/R,toggle Program / Run mode,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,GSB,none,,GSB,call subroutine at label,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,GSB,f,gold,Σ,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,GSB,g,blue,RTN,return from subroutine / to line 000,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,R↓,none,,R↓,roll stack down,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,R↓,f,gold,PRGM,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,R↓,g,blue,R↑,roll stack up,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,x⇄y,none,,x⇄y,swap X and Y registers,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,x⇄y,f,gold,REG,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,x⇄y,g,blue,RND,round mantissa to current display setting,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,← (backspace),none,,← (backspace),,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,← (backspace),f,gold,PREFIX,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,← (backspace),g,blue,CLx,clear X register to zero,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,ENTER,none,,ENTER,copy X into Y to separate number entries,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,ENTER,f,gold,RAN#,pseudo-random number generator,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,ENTER,g,blue,LSTx,recall value from before last operation,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,1,none,,1,digit 1,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,1,f,gold,"Py,x",permutations of y items taken x at a time,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,1,g,blue,"Cy,x",combinations of y items taken x at a time,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,2,none,,2,digit 2,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,2,f,gold,→H.MS,decimal hours/degrees to hrs-min-sec,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,2,g,blue,→H,hrs-min-sec to decimal hours/degrees,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,3,none,,3,digit 3,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,3,f,gold,→RAD,degrees to radians,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,3,g,blue,→DEG,radians to degrees,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,−,none,,−,subtract,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,−,f,gold,x≠y,conditional test x ≠ y,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,3,−,g,blue,x≠0,conditional test x ≠ 0,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,ON,none,,ON,turn display on / off,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,f,none,,f,"gold prefix, selects function above key",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,g,none,,g,"blue prefix, selects function on key face",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,STO,none,,STO,store X into a register (with arithmetic),8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,STO,f,gold,FRAC,"keep fractional part, truncate integer",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,STO,g,blue,INT,"keep integer part, truncate fraction",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,RCL,none,,RCL,recall a register into X,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,RCL,f,gold,USER,toggle User mode (swap primary/A–E keys),8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,RCL,g,blue,MEM,show program memory / register allocation,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,ENTER (cont.),none,,ENTER (cont.),,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,0,none,,0,digit 0,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,0,f,gold,x!,factorial x! or gamma Γ(1+x),8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,0,g,blue,x̄,mean of accumulated x and y values,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,•,none,,•,,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,•,f,gold,"ŷ,r",linear estimate of y and correlation coefficient,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,•,g,blue,s,sample standard deviation of x and y,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,Σ+,none,,Σ+,"accumulate x,y data into statistics registers",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,Σ+,f,gold,L.R.,linear regression: y-intercept and slope,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,Σ+,g,blue,Σ−,"remove x,y data to correct accumulation",8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,+,none,,+,add,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,+,f,gold,x=y,conditional test x = y,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-11C,,4,+,g,blue,x=0,conditional test x = 0,8; 20–21,,245–250,,hp/manuals/HP-11C.pdf
HP-12C,,1,n,none,,n,store/compute number of compounding periods,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,n,f,gold,AMORT,amortize x payments; updates PV and n,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,n,g,blue,12×,multiply x by 12 and store into n,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,i,none,,i,store/compute periodic interest rate,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,i,f,gold,INT,simple interest calculation,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,i,g,blue,12÷,divide x by 12 and store into i,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,PV,none,,PV,store/compute present value (initial cash flow),16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,PV,f,gold,NPV,net present value of up to 20 uneven cash flows,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,PV,g,blue,CFo,"store initial cash flow, reset n",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,PMT,none,,PMT,store/compute payment amount,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,PMT,f,gold,RND,round mantissa to current display setting,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,PMT,g,blue,CFj,store a subsequent cash flow amount,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,FV,none,,FV,store/compute future value (final cash flow),16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,FV,f,gold,IRR,internal rate of return (yield) on cash flows,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,FV,g,blue,Nj,number of times a cash flow repeats (1–99),16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,CHS,none,,CHS,change sign of number or exponent,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,CHS,g,blue,DATE,"date offset by days, with day of week",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,7,none,,7,digit 7,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,7,g,blue,BEG,set Begin payment mode,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,8,none,,8,digit 8,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,8,g,blue,END,set End payment mode,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,9,none,,9,digit 9,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,9,g,blue,MEM,memory map of program lines / data registers,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,1,÷,none,,÷,divide,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,yˣ,none,,yˣ,raise Y to power of x,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,yˣ,f,gold,PRICE,bond price from desired yield to maturity,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,yˣ,g,blue,√x,square root of x,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,1/x,none,,1/x,reciprocal of x,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,1/x,f,gold,YTM,yield to maturity from bond price,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,1/x,g,blue,eˣ,"natural antilog, e raised to x",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,%T,none,,%T,percent that x is of total in Y,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,%T,f,gold,SL,straight-line depreciation,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,%T,g,blue,LN,natural logarithm of x,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,Δ%,none,,Δ%,percent change from Y to X,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,Δ%,f,gold,SOYD,sum-of-the-years-digits depreciation,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,Δ%,g,blue,FRAC,"keep fractional part, truncate integer",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,%,none,,%,"x percent of y, retaining y",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,%,f,gold,DB,declining-balance depreciation,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,%,g,blue,INTG,"keep integer part, truncate fraction",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,EEX,none,,EEX,enter exponent of ten,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,EEX,g,blue,ΔDYS,number of days between two dates,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,4,none,,4,digit 4,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,4,g,blue,D.MY,set day-month-year date format,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,5,none,,5,digit 5,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,5,g,blue,M.DY,set month-day-year date format,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,6,none,,6,digit 6,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,6,g,blue,x̄w,weighted mean of y (item) and x (weight),16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,2,×,none,,×,multiply,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,R/S,none,,R/S,run / stop program,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,R/S,f,gold,P/R,toggle Program / Run mode,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,R/S,g,blue,PSE,pause about one second to show X,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,SST,none,,SST,single-step forward through program,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,SST,f,gold,Σ,,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,SST,g,blue,BST,back-step through program,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,R↓,none,,R↓,roll stack down,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,R↓,f,gold,PRGM,,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,R↓,g,blue,GTO,go to a program line number,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,x⇄y,none,,x⇄y,swap X and Y registers,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,x⇄y,f,gold,FIN,,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,x⇄y,g,blue,x≤y,conditional test x ≤ y,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,CLx,none,,CLx,clear X register to zero,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,CLx,f,gold,REG,,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,CLx,g,blue,x=0,conditional test x = 0,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,ENTER,none,,ENTER,copy X into Y to separate number entries,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,ENTER,f,gold,PREFIX,,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,ENTER,g,blue,LSTx,recall value from before last operation,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,1,none,,1,digit 1,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,1,g,blue,"x̂,r",linear estimate of x and correlation coefficient,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,2,none,,2,digit 2,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,2,g,blue,"ŷ,r",linear estimate of y and correlation coefficient,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,3,none,,3,digit 3,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,3,g,blue,n!,factorial of x,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,3,−,none,,−,subtract,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,ON,none,,ON,turn calculator on / off,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,f,none,,f,"gold prefix, selects function above key",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,g,none,,g,"blue prefix, selects function on key face",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,STO,none,,STO,store X into a register (with arithmetic),16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,RCL,none,,RCL,recall a register into X,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,ENTER (cont.),none,,ENTER (cont.),,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,0,none,,0,digit 0,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,0,g,blue,x̄,mean of x and y values,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,•,none,,•,,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,•,g,blue,s,sample standard deviation of x and y,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,Σ+,none,,Σ+,"accumulate x,y data into statistics registers",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,Σ+,g,blue,Σ−,"remove x,y data to correct accumulation",16,251,231–237,,hp/manuals/HP-12C.pdf
HP-12C,,4,+,none,,+,add,16,251,231–237,,hp/manuals/HP-12C.pdf
HP-15C,,1,√x,none,,√x,square root of x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,√x,f,gold,A,,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,√x,g,blue,x²,square of x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,eˣ,none,,eˣ,"natural antilog, e raised to x",272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,eˣ,f,gold,B,,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,eˣ,g,blue,LN,natural logarithm of x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,10ˣ,none,,10ˣ,"common antilog, 10 raised to x",272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,10ˣ,f,gold,C,,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,10ˣ,g,blue,LOG,common (base-10) logarithm of x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,yˣ,none,,yˣ,raise y to the power x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,yˣ,f,gold,D,,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,yˣ,g,blue,%,x percent of the value in Y,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,1/x,none,,1/x,reciprocal of x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,1/x,f,gold,E,,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,1/x,g,blue,Δ%,percent change from Y to X,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,CHS,none,,CHS,change sign of number or exponent,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,CHS,f,gold,MATRIX,prefix for matrix operations (MATRIX 0–9),272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,CHS,g,blue,ABS,absolute value of x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,7,none,,7,digit 7,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,7,f,gold,FIX,fixed-point display mode,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,7,g,blue,DEG,set Degrees angular mode,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,8,none,,8,digit 8,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,8,f,gold,SCI,scientific-notation display mode,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,8,g,blue,RAD,set Radians angular mode,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,9,none,,9,digit 9,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,9,f,gold,ENG,engineering-notation display mode,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,9,g,blue,GRD,set Grads angular mode,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,÷,none,,÷,divide y by x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,÷,f,gold,SOLVE,find a real root of a labeled function f(x),272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,1,÷,g,blue,x≤y,conditional test x ≤ y,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,2,SST,none,,SST,single-step forward through program lines,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,2,SST,f,gold,LBL,mark the start of a program routine,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,2,SST,g,blue,BST,back-step through program lines,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,2,GTO,none,,GTO,go to a label or the position it marks,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,2,GTO,f,gold,HYP,prefix for hyperbolic SIN/COS/TAN,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,2,GTO,g,blue,HYP⁻¹,prefix for inverse hyperbolic SIN/COS/TAN,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,2,SIN,none,,SIN,sine of x,272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
HP-15C,,2,SIN,f,gold,DIM,"dimension a named matrix (A–E, or via I)",272–280,299,272–278; 278–280,,hp/manuals/HP-15C.pdf
